symbol,xid
LU1648455753:EUR,108219410
LU2429106722:EUR,719488864
ES0112763000:EUR,762805778
LU0823414718:EUR,129274769
LU0823415012:EUR,28303984
LU0823414635:EUR,28283607
LU1861215975:USD,488427554
LU1917164938:EUR,123816853
LU1861216510:EUR,552229439
IE00B57PQG06:EUR,675122956
LU0056508442:USD,11264231
YTRA:MCE,90586274
LU0823421689:EUR,129274795
LU0823422141:EUR,535700918
LU1728554749:EUR,535678635
LU0304955437:EUR,535673211
LU0119095668:GBP,535701108
LU1822773716:EUR,117236139
LU0159052710:EUR,535701672
LU0210536867:USD,129532477
LU0171310443:EUR,28295854
LU0675296932:EUR,535654555
LU0070176184:USD,28291414
LU0115773425:EUR,76120923
LU0115773425:EUR,76120923
LU1046421795:USD,74117488
LU0552385618:EUR,535696137
LU1213836080:EUR,724952042
LU1213836080:EUR,724952042
LU1213836080:EUR,724952042
LU0260870158:EUR,28305727
LU0823434583:USD,129274748
LU0073232471:USD,129532014
LU0109392836:USD,28294803
LU1548497426:USD,535672904
IE00B0PVD642:USD,26657320
LU1548497699:EUR,464758762
LU0133096635:USD,535691757
LU0346389348:EUR,69704412
LU0864709349:EUR,435617386
LU1530899142:EUR,535649101
LU0607974713:USD,89148146
BE0948502365:EUR,535699518
LU0554840230:EUR,535692543
LU0415391431:EUR,22256877
LU0060230025:USD,129361201
LU0252219315:EUR,28297098
IE0033609722:USD,104454228
LU0234572021:USD,28298964
LU0079474960:USD,28291883
LU0239688517:GBP,29829586
ES0152769032:EUR,10485
LU2145461757:EUR,627012448
LU0210532015:EUR,129532479
BE0946564383:EUR,28286598
LU0232575059:EUR,28298041
LU0082926121:USD,3440
LU0266117414:EUR,28287223
LU0361788507:EUR,129533464
LU0082925743:USD,3439
LU1602091867:EUR,535676731
IE00B2NN6563:EUR,26657321
LU1378879081:EUR,96739489
LU1548497772:EUR,129488834
IE00BJYLJ823:EUR,538059836
LU1378878430:USD,535624645
LU0225737302:USD,129532566
LU0346388969:EUR,69704410
LU0347711466:EUR,28308195
LU0503631631:EUR,28520629
LU1121084831:USD,535666398
LU0067412154:USD,28293463
LU0348784397:USD,535687940
LU0101692670:USD,5984465
LU0248172537:EUR,129492998
LU0251853072:EUR,28295629
LU0072913022:USD,3072
LU0051755006:USD,28284023
ES0114561006:EUR,43516033
LU0104884860:EUR,4899
LU1319833957:EUR,535660796
LU1529780659:EUR,116366726
LU0261949381:SEK,6178947
LU0511403387:EUR,535708336
LU1914342859:EUR,123974100
LU0115769746:EUR,129271267
LU0386882277:EUR,14480399
LU0823414635:EUR,28283607
LU0594300179:USD,52251987
LU0594300096:EUR,52251986
FR0010858498:EUR,678576635
LU0217390813:EUR,535669200
LU0522352607:EUR,28310024
LU0203975437:EUR,12914
LU0386875149:EUR,14480398
LU0503938879:EUR,129534788
LU0157217158:EUR,129271282
LU0261951288:CHF,6178972
LU0140636928:USD,535702513
LU0266013126:EUR,129516295
ES0114673033:EUR,6358
LU0119124864:EUR,129271258
LU0181495838:USD,12216
IE00B2NLMT64:EUR,104529850
LU1684370056:EUR,110767032
FR0010148981:EUR,28293893
LU1438161504:EUR,535677339
LU1261432659:EUR,535674156
LU0823418388:EUR,535692152
LU0244354667:USD,6413746
LU1670710075:EUR,519175374
ES0113319034:EUR,6028
LU0261948227:EUR,6178968
LU0125741180:EUR,34541853
LU0115765595:EUR,92391841
IE0034277479:EUR,28300698
LU0868490383:EUR,577535041
FR0010149302:EUR,28293891
LU0616856935:EUR,53147346
LU0168449691:USD,6413729
LU0115759606:EUR,535687573
LU0334663407:EUR,129533102
LU0075056555:USD,3160
LU0315165794:EUR,129361427
LU0053685615:USD,129532276
LU0210529656:USD,129532493
LU0119096559:GBP,28284458
IE00B6SBTN25:EUR,104529962
LU0279460975:EUR,129532881
LU0941348897:EUR,67634432
LU0345780281:USD,129516543
LU0327689542:EUR,28307726
IE00BYVXS238:EUR,99289901
LU0326424115:EUR,129516665
LU1590492135:EUR,535627400
LU0184631991:EUR,535688574
LU0251658612:EUR,129532842
LU0055631609:USD,2481
LU1670724373:EUR,120584001
LU1196531187:EUR,535667256
LU1719066794:EUR,537947923
LU0326422689:EUR,129516587
LU2320548675:EUR,678934249